NORAD Catalog Number		Name
38867	,	INTELSAT 23 (IS-23)
38953	,	BEIDOU 16
38977	,	LUCH 5B
38978	,	YAMAL 300K
38991	,	STAR ONE C3
38992	,	EUTELSAT 21B
38995	,	MERIDIAN 6
38997	,	HUANJING 1C (HJ-1C)
38998	,	FENGNIAO 1 (FN-1)
38999	,	XINYAN 1 (XY-1)
39008	,	ECHOSTAR 16
39011	,	YAOGAN 16A
39012	,	YAOGAN 16B
39013	,	YAOGAN 16C
39017	,	CHINASAT 12 (ZX 12)
39019	,	PLEIADES 1B
39020	,	EUTELSAT 70B
39022	,	YAMAL 402
39030	,	GOKTURK 2
39034	,	SKYNET 5D
39035	,	MEXSAT 3
39057	,	COSMOS 2482
39058	,	COSMOS 2483
39059	,	COSMOS 2484
39061	,	IGS 8A
39062	,	IGS 8B
39068	,	STSAT-2C
39070	,	TDRS 11
39072	,	GLOBALSTAR M097
39073	,	GLOBALSTAR M093
39074	,	GLOBALSTAR M094
39075	,	GLOBALSTAR M096
39076	,	GLOBALSTAR M078
39077	,	GLOBALSTAR M095
39078	,	AMAZONAS 3
39079	,	AZERSPACE 1
39084	,	LANDSAT 8
39086	,	SARAL
39088	,	SAPPHIRE
39089	,	NEOSSAT
39090	,	STRAND-1
39091	,	BRITE-AUSTRIA
39092	,	UNIBRITE
39120	,	SBIRS GEO-2 (USA 241)
39122	,	EUTELSAT 117 WEST A
39127	,	ANIK G1
39132	,	DOVE 2
39133	,	AIST-2
39134	,	SOMP
39135	,	BEESAT 3
39136	,	BEESAT-2
39150	,	GAOFEN 1
39151	,	NEE-01 PEGASUS
39153	,	CUBEBUG-1 (CAPITAN BETO)
39155	,	COSMOS 2485 [GLONASS-M]
39157	,	CHINASAT 11 (ZX 11)
39159	,	PROBA-V
39160	,	VNREDSAT 1
39161	,	ESTCUBE 1
39163	,	EUTELSAT 7B
39166	,	NAVSTAR 68 (USA 242)
39168	,	WGS F5 (USA 243)
39172	,	SES-6
39177	,	COSMOS 2486
39186	,	RESURS P1
39188	,	O3B FM5
39189	,	O3B FM4
39190	,	O3B FM2
39191	,	O3B PFM
39194	,	COSMOS 2487
39197	,	IRIS
39199	,	IRNSS-1A
39202	,	SJ-11-05
39206	,	MUOS-2
39208	,	SHIYAN 7 (SY-7)
39209	,	CHUANGXIN-3 (CX-3)
39210	,	SHIJIAN-15 (SJ-15)
39215	,	ALPHASAT
39216	,	INSAT-3D
39222	,	WGS F6 (USA 244)
39227	,	ARIRANG-5 (KOMPSAT-5)
39232	,	USA 245
39233	,	EUTELSAT 25B
39234	,	GSAT-7
39237	,	AMOS-4
39239	,	YAOGAN 17A
39240	,	YAOGAN 17B
39241	,	YAOGAN 17C
39249	,	GONETS-M 5
39250	,	GONETS-M 6
39251	,	GONETS-M 7
39253	,	HISAKI (SPRINT-A)
39256	,	AEHF-3 (USA 246)
39260	,	FENGYUN 3C
39265	,	CASSIOPE
39266	,	CUSAT 1
39267	,	DANDE
39268	,	POPACS 1
39269	,	POPACS 2
39270	,	POPACS 3
39285	,	ASTRA 2E
39358	,	SHIJIAN-16 (SJ-16)
39360	,	SIRIUS FM-6
39363	,	YAOGAN 18
39370	,	MARS ORBITER MISSION
39375	,	RADUGA-1M 3
39378	,	MAVEN
39380	,	STPSAT-3
39397	,	HORUS
39410	,	YAOGAN 19
39416	,	APRIZESAT 7
39417	,	ZACUBE-1 (TSHEPISOSAT)
39418	,	SKYSAT-1
39419	,	DUBAISAT-2
39420	,	OPTOS
39422	,	STSAT-3
39423	,	WNISAT-1
39425	,	APRIZESAT 8
39427	,	TRITON-1
39429	,	DOVE 3
39430	,	GOMX 1
39431	,	BRITE-PL
39433	,	HUMSAT-D
39436	,	EAGLE 2
39440	,	CUBEBUG-2 (LO-74)
39441	,	NEE-02 KRYSAOR
39444	,	FUNCUBE-1 (AO-73)
39446	,	UWE-3
39451	,	SWARM B
39452	,	SWARM A
39453	,	SWARM C
39455	,	SHIYAN 5 (SY-5)
39460	,	SES-8
39462	,	USA 247
39463	,	FIREBIRD A
39464	,	FIREBIRD B
39465	,	AEROCUBE 5A
39466	,	AEROCUBE 5B
39467	,	ALICE
39468	,	SNAP-3
39472	,	SMDC ONE 2.4
39473	,	TACSAT 6
39474	,	SMDC ONE 2.3
39476	,	INMARSAT 5-F1
39479	,	GAIA
39481	,	TKSAT-1 (TUPAC KATARI)
39483	,	COSMOS 2488
39484	,	COSMOS 2489
39485	,	COSMOS 2490
39487	,	EXPRESS-AM5
39492	,	AIST 1
39498	,	GSAT-14
39500	,	THAICOM 6
39504	,	TDRS 12
39508	,	ABS-2
39509	,	ATHENA-FIDUS
39522	,	TURKSAT 4A
39533	,	NAVSTAR 69 (USA 248)
39574	,	GPM-CORE
39612	,	EXPRESS-AT1
39613	,	EXPRESS-AT2
39616	,	AMAZONAS 4A
39617	,	ASTRA 5B
39620	,	COSMOS 2492 [GLONASS-M]
39624	,	SJ-11-06
39634	,	SENTINEL-1A
39635	,	IRNSS-1B
39650	,	OFEQ 10
39652	,	USA 250
39727	,	LUCH 5V
39728	,	KAZSAT-3
39731	,	KAZEOSAT 1
39741	,	NAVSTAR 70 (USA 251)
39751	,	USA 252
39761	,	COSMOS 2496
39762	,	COSMOS 2497
39763	,	COSMOS 2498
39765	,	COSMOS 2499
39766	,	ALOS-2
39767	,	UNIFORM 1
39768	,	SOCRATES
39769	,	RISING 2
39770	,	SPROUT
39773	,	EUTELSAT 3B
40001	,	COSMOS 2500 [GLONASS-M]
40010	,	KAZEOSAT 2
40011	,	HODOYOSHI-4
40012	,	UNISAT-6
40013	,	DEIMOS-2
40014	,	BUGSAT-1 (TITA)
40015	,	HODOYOSHI-3
40016	,	SAUDISAT 4
40017	,	TABLETSAT-AURORA
40018	,	APRIZESAT 9
40019	,	APRIZESAT 10
40020	,	BRITE-TORONTO
40021	,	DUCHIFAT-1
40023	,	FLOCK 1C-10
40024	,	NANOSATC-BR1
40025	,	QB50P1
40026	,	FLOCK 1C-7
40027	,	FLOCK 1C-1
40028	,	POPSAT-HIP-1
40029	,	FLOCK 1C-2
40031	,	FLOCK 1C-4
40032	,	QB50P2
40033	,	FLOCK 1C-11
40034	,	ANTELSAT
40035	,	FLOCK 1C-9
40036	,	FLOCK 1C-6
40037	,	PERSEUS-M2
40038	,	FLOCK 1C-5
40039	,	PERSEUS-M1
40040	,	FLOCK 1C-8
40041	,	FLOCK 1C-3
40042	,	POLYITAN-1
40043	,	TIGRISAT
40044	,	LEMUR-1
40045	,	AEROCUBE 6A
40046	,	AEROCUBE 6B
40053	,	AZERSKY (SPOT 7)
40054	,	AISAT
40055	,	CANX-4
40056	,	CANX-5
40057	,	VELOX 1
40059	,	OCO 2
40061	,	GONETS-M 8
40062	,	GONETS-M 9
40063	,	GONETS-M 10
40069	,	METEOR-M 2
40070	,	MKA-PN 2 (RELEC)
40071	,	DX1
40072	,	SKYSAT-2
40074	,	UKUBE-1
40075	,	AISSAT 2
40076	,	TDS 1
40079	,	O3B FM3
40080	,	O3B FM7
40081	,	O3B FM6
40082	,	O3B FM8
40086	,	ORBCOMM FM109
40087	,	ORBCOMM FM107
40091	,	ORBCOMM FM103
40099	,	USA 253
40100	,	USA 254
40101	,	USA 255
40105	,	NAVSTAR 71 (USA 256)
40107	,	ASIASAT 8
40109	,	YAOGAN 20A
40110	,	YAOGAN 20B
40111	,	YAOGAN 20C
40115	,	WORLDVIEW-3 (WV-3)
40118	,	GAOFEN 2
40119	,	BRITE-PL 2
40128	,	GSAT0201 (GALILEO 5)
40129	,	GSAT0202 (GALILEO 6)
40136	,	LING QIAO
40137	,	CHUANGXIN 1-04 (CX-1-04)
40141	,	ASIASAT 6
40143	,	YAOGAN 21
40144	,	TIANTUO 2
40146	,	OPTUS 10
40147	,	MEASAT-3B
40208	,	USA 257 (CLIO)
40258	,	LUCH (OLYMP)
40261	,	SJ-11-07
40267	,	HIMAWARI-8
40269	,	IRNSS-1C
40271	,	INTELSAT 30 (IS-30)
40272	,	ARSAT 1
40275	,	YAOGAN 22
40277	,	EXPRESS-AM6
40286	,	SJ-11-08
40294	,	NAVSTAR 72 (USA 258)
40296	,	MERIDIAN 7
40298	,	ASNARO
40299	,	HODOYOSHI-1
40300	,	CHUBUSAT-1
40301	,	QSAT-EOS
40302	,	TSUBAME
40305	,	YAOGAN 23
40310	,	YAOGAN 24
40315	,	COSMOS 2501 [GLONASS-K]
40319	,	HAYABUSA 2
40320	,	SHIN'EN 2 (FO-82)
40321	,	DESPATCH (ARTSAT 2)
40322	,	PROCYON
40332	,	GSAT-16
40333	,	DIRECTV 14
40336	,	CBERS 4
40338	,	YAOGAN 25A
40339	,	YAOGAN 25B
40340	,	YAOGAN 25C
40344	,	USA 259
40345	,	YAMAL 401
40348	,	O3B FM10
40349	,	O3B FM11
40350	,	O3B FM12
40351	,	O3B FM9
40353	,	KONDOR-E
40358	,	COSMOS 2502
40360	,	RESURS P2
40362	,	YAOGAN 26
40364	,	ASTRA 2G
40367	,	FENGYUN 2G
40374	,	MUOS-3
40376	,	SMAP
40378	,	FIREBIRD 4
40379	,	GRIFEX
40380	,	EXOCUBE
40381	,	IGS 9A
40384	,	INMARSAT 5-F2
40390	,	DSCOVR
40420	,	COSMOS 2503
40424	,	ABS-3A
40425	,	EUTELSAT 115 WEST B
40482	,	MMS 1
40483	,	MMS 2
40484	,	MMS 3
40485	,	MMS 4
40505	,	EXPRESS-AM7
40534	,	NAVSTAR 73 (USA 260)
40536	,	KOMPSAT-3A
40538	,	IGS O-5
40544	,	GSAT0203 (GALILEO 7)
40545	,	GSAT0204 (GALILEO 8)
40547	,	IRNSS-1D
40549	,	BD-17
40552	,	GONETS-M 11
40553	,	GONETS-M 12
40554	,	GONETS-M 13
40555	,	COSMOS 2504
40613	,	THOR 7
40614	,	SICRAL 2
40617	,	TURKMENALEM52E/MONACOSAT
40651	,	OTV 4 (USA 261)
40652	,	USS LANGLEY
40654	,	PARKINSONSAT (PSAT)
40655	,	BRICSAT-P
40657	,	GEARRS-2
40659	,	AEROCUBE 8A
40660	,	AEROCUBE 8B
40663	,	DIRECTV 15
40664	,	SKY MEXICO-1
40697	,	SENTINEL-2A
40699	,	COSMOS 2506
40701	,	GAOFEN 8
40715	,	DMC3-FM1
40716	,	DMC3-FM2
40717	,	DMC3-FM3
40718	,	CARBONITE 1 (CBNT-1)
40719	,	DEORBITSAIL
40730	,	NAVSTAR 74 (USA 262)
40732	,	METEOSAT-11 (MSG-4)
40733	,	STAR ONE C4
40746	,	WGS F7 (USA 263)
40748	,	BD-18
40749	,	BD-19
40874	,	INTELSAT 34 (IS-34)
40875	,	EUTELSAT 8 WEST B
40878	,	YAOGAN 27
40880	,	GSAT-6
40882	,	INMARSAT 5-F3
40887	,	MUOS-4
40889	,	GSAT0205 (GALILEO 9)
40890	,	GSAT0206 (GALILEO 10)
40892	,	TJS-1
40894	,	GAOFEN 9
40895	,	EXPRESS-AM8
40899	,	OBJECT A
40900	,	NUDT-PHONESAT
40901	,	ZDPS 2A
40902	,	ZDPS 2B
40903	,	XW-2A
40904	,	KAITUO 1A
40905	,	OBJECT G
40906	,	XW-2C
40907	,	XW-2D
40908	,	LILACSAT 2
40910	,	XW-2F
40911	,	XW-2B
40912	,	KAITUO 1B
40920	,	COSMOS 2507
40921	,	COSMOS 2508
40922	,	COSMOS 2509
40925	,	PUJIANG 1 (PJ-1)
40926	,	TIANWANG 1C (TW-1C)
40927	,	TIANWANG 1B (TW-1B)
40928	,	TIANWANG 1A (TW-1A)
40930	,	ASTROSAT
40931	,	LAPAN-A2
40932	,	LEMUR-2-JOEL
40933	,	LEMUR-2-CHRIS
40934	,	LEMUR-2-JEROEN
40935	,	LEMUR-2-PETER
40936	,	EXACTVIEW 9
40938	,	BD-20
40940	,	SKY MUSTER (NBN1A)
40941	,	ARSAT 2
40946	,	MORELOS 3
40958	,	LQSAT
40959	,	LINGQIAO VIDEO A
40960	,	LINGQIAO VIDEO B
40961	,	JILIN 1
40964	,	USA 264
40965	,	AEROCUBE 5C
40966	,	AEROCUBE 7
40967	,	FOX-1A (AO-85)
40968	,	BISONSAT
40969	,	ARC-1
40970	,	SNAP-3 ALICE
40971	,	LMRST-SAT
40972	,	SNAP-3 EDDIE
40973	,	PROPCUBE 3
40974	,	SINOD-D 1
40975	,	SNAP-3 JIMI
40976	,	PROPCUBE 1
40977	,	SINOD-D 3
40982	,	APSTAR 9
40984	,	TURKSAT 4B
40988	,	TIANHUI 1-03
41019	,	NAVSTAR 75 (USA 265)
41021	,	CHINASAT 2C (ZX 2C)
41026	,	YAOGAN 28
41028	,	GSAT-15
41029	,	BADR-7 (ARABSAT-6B)
41032	,	COSMOS 2510
41034	,	LAOSAT 1
41036	,	TELSTAR 12V
41038	,	YAOGAN 29
41103	,	CHINASAT 1C (ZX 1C)
41105	,	ELEKTRO-L 2
41121	,	COSMOS 2513
41166	,	VELOX C1
41167	,	KENT RIDGE 1
41168	,	ATHENOXAT 1
41169	,	TELEOS 1
41170	,	GALASSIA
41171	,	VELOX 2
41173	,	DAMPE
41174	,	GSAT0209 (GALILEO 12)
41175	,	GSAT0208 (GALILEO 11)
41179	,	ORBCOMM FM114
41182	,	ORBCOMM FM110
41183	,	ORBCOMM FM118
41184	,	ORBCOMM FM112
41185	,	ORBCOMM FM113
41186	,	ORBCOMM FM115
41187	,	ORBCOMM FM108
41188	,	ORBCOMM FM117
41189	,	ORBCOMM FM116
41191	,	EXPRESS-AMU1
41194	,	GAOFEN 4
41238	,	BELINTERSAT-1
41240	,	JASON-3
41241	,	IRNSS-1E
41308	,	INTELSAT 29E (IS-29E)
41310	,	EUTELSAT 9B
41313	,	AGGIESAT 4
41315	,	BD-21
41328	,	NAVSTAR 76 (USA 266)
41330	,	COSMOS 2514 [GLONASS-M]
41332	,	KMS 4
41334	,	USA 267
41335	,	SENTINEL-3A
41338	,	CHUBUSAT-2
41339	,	CHUBUSAT-3
41340	,	HORYU-IV
41380	,	SES-9
41382	,	EUTELSAT 65 WEST A
41384	,	IRNSS-1F
41386	,	RESURS P3
41388	,	EXOMARS
41394	,	COSMOS 2515
41434	,	BEIDOU IGSO-6
41456	,	SENTINEL-1B
41457	,	MICROSCOPE
41458	,	OUFTI-1
41459	,	E-ST@R-II
41460	,	AAUSAT 4
41463	,	DIWATA-1
41464	,	MVL-300
41465	,	AIST-2D
41466	,	SAMSAT-218D
41469	,	IRNSS-1G
41471	,	JCSAT 2B
41473	,	YAOGAN 30
41479	,	FLOCK 2E'-1
41480	,	FLOCK 2E'-3
41483	,	FLOCK 2E-1
41486	,	FLOCK 2E-3
41487	,	FLOCK 2E-4
41549	,	GSAT0211 (GALILEO 14)
41550	,	GSAT0210 (GALILEO 13)
41552	,	THAICOM 8
41554	,	COSMOS 2516 [GLONASS-M]
41556	,	ZIYUAN 3-2 (ZY 3-2)
41557	,	NUSAT-1 (FRESCO)
41558	,	NUSAT-2 (BATATA)
41564	,	FLOCK 2E-5
41565	,	FLOCK 2E-7
41567	,	FLOCK 2E'-5
41568	,	FLOCK 2E'-6
41569	,	FLOCK 2E'-8
41572	,	FLOCK 2E-10
41573	,	FLOCK 2E-12
41574	,	FLOCK 2E-11
41575	,	FLOCK 2E'-9
41576	,	FLOCK 2E'-10
41577	,	FLOCK 2E'-11
41578	,	FLOCK 2E'-12
41579	,	COSMOS 2517 (GEO-IK 2)
41581	,	INTELSAT 31 (IS-31)
41584	,	USA 268
41586	,	BD-2-G7
41588	,	ABS-2A (MONGOLSAT-1)
41589	,	EUTELSAT 117 WEST B
41591	,	BRISAT
41592	,	ECHOSTAR 18
41599	,	CARTOSAT-2C
41600	,	SATHYABAMASAT
41601	,	SKYSAT-C1
41602	,	GHGSAT-D
41603	,	LAPAN-A3
41604	,	BIROS
41605	,	M3MSAT
41606	,	FLOCK 2P-6
41607	,	SWAYAM
41608	,	FLOCK 2P-11
41609	,	FLOCK 2P-2
41610	,	FLOCK 2P-9
41611	,	FLOCK 2P-4
41612	,	FLOCK 2P-10
41613	,	FLOCK 2P-8
41614	,	FLOCK 2P-12
41615	,	FLOCK 2P-7
41616	,	FLOCK 2P-5
41617	,	FLOCK 2P-1
41618	,	FLOCK 2P-3
41619	,	BEESAT-4
41622	,	MUOS-5
41634	,	SJ 16-02
41724	,	USA 269
41725	,	TIANTONG-1 1
41727	,	GAOFEN 3
41729	,	JCSAT-16
41731	,	QSS (MOZI)
41732	,	3CAT-2
41744	,	USA 270
41745	,	USA 271
41747	,	INTELSAT 36 (IS-36)
41748	,	INTELSAT 33E (IS-33E)
41752	,	INSAT-3DR
41757	,	OSIRIS-REX
41759	,	OFEQ 11
41761	,	FLOCK 2E'-13
41762	,	FLOCK 2E'-14
41763	,	FLOCK 2E'-16
41764	,	FLOCK 2E'-15
41765	,	TIANGONG-2
41769	,	FLOCK 2E'-18
41770	,	PERUSAT 1
41771	,	SKYSAT-C4
41772	,	SKYSAT-C5
41773	,	SKYSAT-C2
41774	,	SKYSAT-C3
41776	,	FLOCK 2E'-17
41777	,	FLOCK 2E'-19
41782	,	FLOCK 2E'-20
41783	,	PRATHAM
41784	,	PISAT
41785	,	ALSAT 1B
41786	,	ALSAT 2B
41787	,	PATHFINDER 1
41788	,	CANX-7
41789	,	ALSAT 1N
41790	,	SCATSAT 1
41793	,	GSAT-18
41794	,	SKY MUSTER 2
41834	,	BANXING-2
41836	,	HIMAWARI-9
41838	,	SHIJIAN-17 (SJ-17)
41841	,	XPNAV-1
41842	,	XIAOXIANG 1
41843	,	PINA 2A
41844	,	PINA 2B
41845	,	LISHUI 1-01
41848	,	WORLDVIEW-4 (WV-4)
41849	,	RAVAN
41850	,	CELTEE 1
41851	,	OPTICUBE 04
41852	,	AEROCUBE 8D
41853	,	AEROCUBE 8C
41854	,	PROMETHEUS 2-1
41855	,	PROMETHEUS 2-3
41857	,	YUNHAI 1
41859	,	GSAT0207 (GALILEO 15)
41860	,	GSAT0212 (GALILEO 16)
41861	,	GSAT0213 (GALILEO 17)
41862	,	GSAT0214 (GALILEO 18)
41866	,	GOES 16
41868	,	SHENZHOU-11 MODULE
41869	,	TIANLIAN 1-04
41871	,	LEMUR-2-XIAOQING
41872	,	LEMUR-2-SOKOLSKY
41873	,	LEMUR-2-ANUBHAVTHAKUR
41874	,	LEMUR-2-WINGO
41875	,	GOKTURK 1A
41877	,	RESOURCESAT-2A
41879	,	WGS F8 (USA 272)
41882	,	FENGYUN 4A
41884	,	CYGFM05
41885	,	CYGFM04
41886	,	CYGFM02
41887	,	CYGFM01
41888	,	CYGFM08
41889	,	CYGFM06
41890	,	CYGFM07
41891	,	CYGFM03
41893	,	ECHOSTAR 19
41895	,	STARS-C
41896	,	ARASE (ERG)
41898	,	TANSAT
41899	,	YIJIAN
41900	,	SPARK 1
41901	,	SPARK 2
41903	,	JCSAT-15
41904	,	STAR ONE D1
41907	,	SUPERVIEW-1 01
41908	,	SUPERVIEW-1 02
41911	,	TJS-2
41913	,	XINGYUN SHIYAN-1
41914	,	JILIN-1-03
41915	,	KAIDUN 1
41917	,	IRIDIUM 106
41918	,	IRIDIUM 103
41919	,	IRIDIUM 109
41920	,	IRIDIUM 102
41921	,	IRIDIUM 105
41922	,	IRIDIUM 104
41923	,	IRIDIUM 114
41924	,	IRIDIUM 108
41925	,	IRIDIUM 112
41926	,	IRIDIUM 111
41932	,	ITF-2
41933	,	WASEDA-SAT3
41935	,	AOBA-VELOX 3
41937	,	SBIRS GEO-3 (USA 273)
41940	,	DSN-2
41942	,	HISPASAT 36W-1
41944	,	TELKOM 3S
41945	,	INTELSAT 32E (IS-32E)
41948	,	CARTOSAT-2D
41949	,	INS-1A
41950	,	FLOCK 3P-20
41951	,	FLOCK 3P-8
41952	,	FLOCK 3P-51
41953	,	FLOCK 3P-37
41954	,	INS-1B
41955	,	FLOCK 3P-19
41956	,	FLOCK 3P-24
41957	,	FLOCK 3P-18
41958	,	FLOCK 3P-22
41959	,	FLOCK 3P-21
41960	,	FLOCK 3P-28
41961	,	FLOCK 3P-26
41962	,	FLOCK 3P-17
41963	,	FLOCK 3P-27
41964	,	FLOCK 3P-25
41965	,	FLOCK 3P-4
41966	,	FLOCK 3P-2
41967	,	FLOCK 3P-1
41968	,	FLOCK 3P-3
41969	,	FLOCK 3P-6
41970	,	FLOCK 3P-7
41971	,	FLOCK 3P-5
41972	,	FLOCK 3P-12
41973	,	FLOCK 3P-9
41974	,	FLOCK 3P-10
41975	,	FLOCK 3P-11
41976	,	FLOCK 3P-60
41977	,	FLOCK 3P-58
41978	,	FLOCK 3P-57
41979	,	FLOCK 3P-75
41980	,	FLOCK 3P-70
41981	,	FLOCK 3P-73
41982	,	FLOCK 3P-88
41983	,	FLOCK 3P-85
41984	,	FLOCK 3P-79
41985	,	FLOCK 3P-86
41986	,	FLOCK 3P-36
41987	,	FLOCK 3P-30
41988	,	FLOCK 3P-34
41989	,	FLOCK 3P-35
41990	,	FLOCK 3P-33
41991	,	LEMUR-2-SATCHMO
41992	,	LEMUR-2-MIA-GRACE
41993	,	LEMUR-2-SMITA-SHARAD
41994	,	LEMUR-2-SPIRE-MINIONS
41995	,	LEMUR-2-RDEATON
41996	,	LEMUR-2-NOGUECORREIG
41997	,	LEMUR-2-JOBANPUTRA
41998	,	LEMUR-2-TACHIKOMA
41999	,	BGUSAT
42000	,	DIDO-2
42001	,	FLOCK 3P-49
42002	,	FLOCK 3P-67
42003	,	FLOCK 3P-68
42004	,	FLOCK 3P-41
42005	,	FLOCK 3P-45
42006	,	FLOCK 3P-48
42007	,	FLOCK 3P-43
42008	,	FLOCK 3P-42
42009	,	FLOCK 3P-61
42010	,	FLOCK 3P-40
42011	,	FLOCK 3P-16
42012	,	FLOCK 3P-14
42013	,	FLOCK 3P-53
42014	,	FLOCK 3P-54
42015	,	PEASSS
42016	,	AL-FARABI 1
42017	,	NAYIF-1 (EO-88)
42018	,	FLOCK 3P-23
42019	,	FLOCK 3P-76
42020	,	FLOCK 3P-69
42021	,	FLOCK 3P-84
42022	,	FLOCK 3P-59
42023	,	FLOCK 3P-32
42024	,	FLOCK 3P-71
42025	,	FLOCK 3P-77
42026	,	FLOCK 3P-80
42027	,	FLOCK 3P-66
42028	,	FLOCK 3P-65
42029	,	FLOCK 3P-50
42030	,	FLOCK 3P-52
42031	,	FLOCK 3P-46
42032	,	FLOCK 3P-47
42033	,	FLOCK 3P-44
42034	,	FLOCK 3P-64
42035	,	FLOCK 3P-63
42036	,	FLOCK 3P-62
42037	,	FLOCK 3P-38
42038	,	FLOCK 3P-39
42039	,	FLOCK 3P-15
42040	,	FLOCK 3P-13
42041	,	FLOCK 3P-55
42042	,	FLOCK 3P-56
42043	,	FLOCK 3P-81
42044	,	FLOCK 3P-87
42045	,	FLOCK 3P-29
42046	,	FLOCK 3P-82
42047	,	FLOCK 3P-78
42048	,	FLOCK 3P-74
42049	,	FLOCK 3P-31
42050	,	FLOCK 3P-83
42051	,	FLOCK 3P-72
42058	,	USA 274
42059	,	LEMUR-2-REDFERN-GOES
42061	,	TK-1
42063	,	SENTINEL-2B
42067	,	LEMUR-2-TRUTNA
42068	,	LEMUR-2-AUSTINTACIOUS
42069	,	LEMUR-2-TRUTNAHD
42070	,	ECHOSTAR 23
42072	,	IGS RADAR 5
42075	,	WGS 9 (USA 275)
42432	,	SES-10
42662	,	CHINASAT 16 (SJ-13)
42689	,	USA 276
42691	,	KOREASAT 7
42692	,	SGDC
42695	,	GSAT-9
42698	,	INMARSAT 5-F4
42700	,	HAVELSAT
42701	,	SOMP 2
42702	,	COLUMBIA
42703	,	SGSAT
42704	,	CXBN-2
42705	,	ICECUBE
42706	,	PHOENIX
42707	,	X-CUBESAT
42708	,	QBEE50-LTU-OC
42709	,	SES-15
42711	,	ALTAIR PATHFINDER
42712	,	SHARC
42713	,	ZA-AEROSAT
42714	,	LINK
42715	,	CSUNSAT 1
42716	,	UPSAT
42717	,	SPACECUBE
42718	,	HOOPOE
42719	,	COSMOS 2518
42721	,	CHALLENGER
42722	,	NJUST-1
42723	,	UNSW-ECO
42724	,	DUTHSAT
42725	,	LILACSAT-1
42726	,	NSIGHT-1
42727	,	SNUSAT-1
42728	,	QBITO
42729	,	AALTO-2
42730	,	SUSAT
42731	,	I-INSPIRE II
42732	,	POLYITAN-2-SAU
42733	,	SNUSAT-1B
42734	,	EXALTA-1
42735	,	AOXIANG-1
42736	,	BEEAGLESAT
42737	,	ATLANTIS
42738	,	QZS-2 (MICHIBIKI-2)
42740	,	VIASAT-2
42741	,	EUTELSAT 172B
42747	,	GSAT-19
42749	,	ECHOSTAR 21
42752	,	LEMUR-2-ANGELA
42753	,	LEMUR-2-JENNYBARNA
42754	,	LEMUR-2-ROBMOORE
42755	,	LEMUR-2-SPIROVISION
42758	,	HXMT (HUIYAN)
42759	,	ZHUHAI-1 02 (CAS 4B)
42760	,	NUSAT-3 (MILANESAT)
42761	,	ZHUHAI-1 01 (CAS 4A)
42763	,	CHINASAT 9A (ZX 9A)
42765	,	UCLSAT
42766	,	NIUSAT
42767	,	CARTOSAT-2E
42768	,	LITUANICASAT-2
42769	,	CE-SAT-I
42771	,	LEMUR-2-SHAINAJOHL
42772	,	LEMUR-2-XUENITERENCE
42773	,	LEMUR-2-LUCYBRYCE
42774	,	LEMUR-2-KUNGFOO
42775	,	AALTO-1
42776	,	URSA MAIOR
42777	,	COMPASS 2
42778	,	MAX VALIER SAT
42779	,	LEMUR-2-LYNSEY-SYMO
42780	,	LEMUR-2-LISASAURUS
42781	,	LEMUR-2-SAM-AMELIA
42782	,	LEMUR-2-MCPEAKE
42783	,	DIAMOND RED
42784	,	PEGASUS
42785	,	DIAMOND GREEN
42786	,	DIAMOND BLUE
42787	,	NUDTSAT
42788	,	SUCHAI
42789	,	SKCUBE
42790	,	VZLUSAT-1
42791	,	VENTA 1
42792	,	ROBUSTA-1B
42793	,	CICERO 6
42794	,	D-SAT
42795	,	TYVAK 53B
42798	,	COSMOS 2519
42801	,	BULGARIASAT-1
42803	,	IRIDIUM 113
42804	,	IRIDIUM 123
42805	,	IRIDIUM 120
42806	,	IRIDIUM 115
42807	,	IRIDIUM 118
42808	,	IRIDIUM 117
42809	,	IRIDIUM 126
42810	,	IRIDIUM 124
42811	,	IRIDIUM 128
42812	,	IRIDIUM 121
42814	,	HELLAS-SAT 3
42815	,	GSAT-17
42818	,	INTELSAT 35E (IS-35E)
42820	,	TOKI
42821	,	GHANASAT-1
42822	,	MAZAALAI (NUMSAT-1)
42823	,	BRAC ONNESHA
42824	,	NIGERIAEDUSAT-1
42825	,	KANOPUS-V-IK
42826	,	NORSAT 1
42827	,	OBJECT C
42828	,	NORSAT 2
42829	,	TECHNOSAT
42830	,	OBJECT F
42831	,	FLYING LAPTOP
42832	,	OBJECT H
42833	,	OBJECT J
42834	,	OBJECT K
42835	,	WNISAT 1R
42836	,	OBJECT M
42837	,	LEMUR-2-GREENBERG
42838	,	LEMUR-2-ANDIS
42839	,	LEMUR-2-MONSON
42840	,	LEMUR-2-FURIAUS
42841	,	LEMUR-2-PETERG
42842	,	LEMUR-2-DEMBITZ
42843	,	OBJECT U
42844	,	NANOACE
42845	,	LEMUR-2-ZACHARY
42846	,	CORVUS BC2
42847	,	CORVUS BC1
42848	,	OBJECT Z
42849	,	OBJECT AA
42850	,	FLOCK 2K-03
42851	,	FLOCK 2K-04
42852	,	FLOCK 2K-01
42853	,	FLOCK 2K-02
42854	,	FLOCK 2K-47
42855	,	FLOCK 2K-48
42856	,	FLOCK 2K-45
42857	,	FLOCK 2K-24
42858	,	FLOCK 2K-46
42859	,	FLOCK 2K-23
42860	,	FLOCK 2K-21
42861	,	FLOCK 2K-22
42862	,	FLOCK 2K-07
